upregulated,,,downregulated,,
gene id,log2FC,adj. P-value,gene id,log2FC,adj. P-value
EDN1,1.704756359,9.35227E-14,C2CD4C,-2.019419098,2.27862E-07
DUSP10,1.700936687,4.9387E-06,KIF26A,-2.011473213,3.62542E-17
RIN2,1.700194498,1.78654E-08,GJB2,-1.999859146,0.000380757
C17orf91,1.699820618,5.04829E-08,DEPDC1B,-1.99729975,1.16817E-45
SCUBE2,1.698937608,4.6764E-14,CENPN,-1.994767595,1.69889E-69
MYEOV,1.69164276,0.00511478,MCM6,-1.992946185,3.44714E-76
BAX,1.69129446,2.17898E-28,DPF1,-1.990030362,3.15706E-07
FAM49A,1.690670685,0.011467301,COCH,-1.98826563,7.29625E-06
SPATA7,1.688358442,1.69365E-14,MYBL1,-1.983205739,1.98998E-08
PGLYRP2,1.686207749,0.013235105,KIF22,-1.972316442,2.06607E-76
ADAMTS13,1.685437829,1.27131E-06,LGI2,-1.972059036,0.002206893
SRMS,1.684928922,0.00196818,FANCG,-1.970178742,3.45014E-38
PLA2G3,1.682684537,1.22732E-07,C20orf160,-1.957198215,0.000100662
C21orf63,1.682305013,0.041204241,TMEM149,-1.955341857,9.42243E-05
REEP2,1.682009623,0.017745976,PRIM2,-1.954525379,7.80842E-32
SH3TC2,1.6812807,0.010048732,VRK1,-1.951442585,1.13845E-34
RNF144B,1.680773419,2.81558E-05,ZNF695,-1.950521032,3.01645E-09
KIAA1370,1.679957438,9.2728E-51,ANKRD32,-1.946434256,1.12063E-18
DUSP4,1.67751919,0.046814687,LOC81691,-1.944490741,3.81002E-19
KCNK3,1.676659575,0.003443594,H2AFZ,-1.940919632,1.12906E-84
SRGAP3,1.673376672,0.000110559,FLT3,-1.933297981,0.000216494
MAOA,1.668039431,0.00284819,DONSON,-1.930246472,3.5134E-21
F8,1.666940938,4.07255E-05,DNAJC9,-1.923124975,5.76883E-43
ZNF596,1.664447708,2.5592E-10,ZNF684,-1.913716139,0.000706578
AGR3,1.663204073,0.005837521,NCAPH2,-1.91239323,3.83274E-35
LOC100131434,1.662388028,0.011578161,GNAZ,-1.905189782,8.61699E-15
STAT6,1.660484533,0.008007565,KIAA1274,-1.902953413,0.000777741
GBP2,1.655962549,2.58161E-08,DBF4,-1.90145822,2.34712E-29
HPX,1.647620522,0.001272708,SUV39H1,-1.897377866,4.22984E-33
VAMP5,1.642438238,9.05643E-05,GAL,-1.89471936,0.000291743
ARSA,1.640825883,1.69563E-13,MDC1,-1.894379858,3.83256E-60
ZNF337,1.640317111,1.25622E-33,CDC7,-1.890323813,8.82615E-21
INPP1,1.638318891,8.02763E-13,YBX2,-1.885679554,1.16412E-19
ANKRD22,1.637611461,0.016452345,RNF157,-1.8757235,2.82816E-08
ABCC6,1.636911066,0.005266422,DIAPH3,-1.875358465,2.97666E-27
GCNT4,1.635561694,0.003310081,TIMELESS,-1.872793083,7.27099E-68
NEAT1,1.630084234,1.52708E-10,BCL2L12,-1.870602373,1.78927E-33
