"C1" "C2" "C3" "C4" "C5" "C6" "C7" "C8" "C9" "C10" "C11" "C12" "C13" "C14" "C15" "C16" "C17" "C18" "C19" "C20" "C21" "C22" "C23" "C24" "C25" "C26" "C27" "C28" "C29" "C30" "C31" "C32" "C33" "C34" "C35" "C36" "C37" "C38" "C39" "C40" "C41" "C42" "C43" "C44" "C45" "C46" "C47" "C48" "C49" "C50" "C51" "C52" "C53" "C54" "C55" "C56" "C57" "C58" "C59" "C60" "C61" "C62" "C63" "C64" "C65" "C66" "C67" "C68" "C69" "C70" "C71" "C72" "C73" "C74" "C75" "C76" "C77" "C78" "C79" "C80" "C81" "C82" "C83" "C84" "C85" "C86" "C87" "C88" "C89" "C90" "C91" "C92" "C93" "C94" "C95" "C96" "C97" "C98" "C99" "C100" "C101" "C102" "C103" "C104" "C105" "C106" "C107" "C108" "C109" "C110" "C111" "C112" "C113" "C114" "C115" "C116" "C117" "C118" "C119" "C120" "C121" "C122" "C123" "C124" "C125" "C126" "C127" "C128" "C129" "C130" "C131" "C132" "C133" "C134" "C135" "C136" "N1" "C137" "C138" "C139" "N2" "C140" "C141" "C142" "N3" "N4" "N5" "N6" "R1" "N7" "N8" "N9" "N10" "N11" "N12" "N13" "N14" "N15" "N16" "N17" "N18" "N19" "N20" "N21" "N22" "N23" "N24" "N25" "N26" "R2" "R3" "R4"
"Tmsb4x" 812.17 24.59 38.12 1258.42 1463.79 11.09 26.9 419.92 182.19 32.19 1773.52 1818.79 29.21 1757.23 2968.08 1079.26 3726.88 10.72 23.47 3206.18 1396.75 39.87 2720.53 2068.33 1744.99 18.05 15.22 395.8 24.5 10.58 43.94 1985.04 7.84 32.17 0 1791.07 1490.8 159.72 22.91 1315.77 918.19 12355.39 4639.42 3930.01 2424.52 2744.77 41.67 42.92 1288.87 1828.27 16.64 9.45 1061.05 822.1 1488.79 0 6231.18 44.22 3701.67 23.06 5504.12 96.4 11.15 783.36 6108 0 737.74 2312.58 14269.2 1811.82 2260.65 13037.66 454.66 8.62 8268.89 1283.16 1286.46 4.64 9709.98 1658.95 676.91 0 3348.34 29.85 5322.78 827.65 3114.78 948.1 6526.15 2361.01 2133.72 0 969.33 4492.32 942.98 2056.94 547.57 3092.52 2430.74 6618.4 1426.66 1384.77 340.41 10340.44 19.17 19.45 1874.9 2107.44 2278.48 10506.75 5325.12 11141.18 2828.34 3279.84 986.83 8.71 2992.86 3662.67 14318 4915.54 4043.33 2021.45 19211.24 5451.29 8121.41 16735.18 10401.16 712.6 3244.4 1748.96 10973.1 3114.91 9101.86 3.62 7194.03 2804.17 3209.9 6926.6 5978.83 5967.7 3679.25 17821.27 0 40550.39 11318.92 20417.97 85037.26 28459.53 6196.58 10782.37 22216.63 829.48 1120.07 13.51 21888.39 55.75 2287.34 7922.39 152.27 4935.44 3633.83 3317.37 6693.3 0 2211 929.85 263.85 6535.21 21974.84 9558.8 6642.45 6497.99
"Rpl36" 15324.53 4523.57 11239.78 5053.78 159.96 7771.38 0 3164.16 0 227.76 0 0 0 0 0 0 0 0 0 5645.4 255.05 12573.04 9437.65 16292.5 0 0 0 169.73 2773.74 9659.69 0 718.33 999.17 4894.4 0 5286.31 4219.74 161.44 3457.55 0 0 7499.51 3247.94 105.27 14930.64 0 4717.07 202.45 0 16852.9 7613.2 133.74 67.33 86.6 6342.08 94.36 10059.27 156.46 0 0 3656.2 6076.65 1893.73 3618.25 4102.13 0 0 4363.53 0 2573.75 10932.16 8399 18419.77 14030.41 8090.3 0 6171.3 17342.32 2088.99 142.28 0 0 2508.17 4083.84 0 6033.75 9042.67 7318.44 0 7473.27 7093.86 0 3819.41 6544.29 10778.38 2144.17 3657.88 0 8573.21 0 5047.35 0 0 8191.93 6850.82 8947.22 65.18 750.27 3935.55 0 3342.16 19857.03 1962 8215.08 3815.24 0 2535.45 10145.9 11735.38 2702.51 3877.11 12303.52 5058.39 13224.67 4432.83 11931.32 10041.84 2215.58 932.38 2143.08 5686.86 5510.1 0 615.27 7323.27 114.69 141.6 3030.92 109.03 14776.89 0 6078.01 4488.29 305.24 8680.8 0 19114.03 327.68 6907.16 150.48 9402.15 0 0 3824.54 23565.76 5364.56 11665.57 7463.99 8930.46 2824.83 8571.89 11824.7 7943.06 0 7865.96 107.86 2311.42 3183.25 80.32 0 5305.43 0
"Ckb" 5591.03 18692.86 8476.72 12701.38 10998.27 7110.98 11273.35 7883.68 9571.93 4856.78 1944.25 4487.53 4652.62 6909.67 6234.44 5863.84 4578.13 2462.27 8784.84 2114.37 9384.81 6743.61 4004.74 6857.31 7204.42 6426.18 462.32 7624.54 6581.18 12422.87 4245.47 9031.11 7815.9 7071.33 3802.04 2158.07 3333.44 7712.89 3793.46 4994.79 5732.01 5288.41 3424.34 4851.83 7670.87 2380.48 4838.78 2148.92 5888.14 6899.31 3002.89 8610.2 11001.95 6553.93 7259.75 1381.35 1987.03 185.9 11.83 7237.9 5604.71 9626.58 5049.57 5826.43 2525.77 5119.96 4006.31 3499.09 2491.12 2317.89 5330.32 4160.49 6382.67 3125.98 4942.31 6628.64 3646.79 21431.97 25.74 5326.41 6611.94 3247.35 309.45 9952.08 8047.5 3695.38 9000.47 3524.62 1859.66 8883.7 11377.67 2363.13 5509.49 2992.05 4272.8 6485.02 7077.63 8248.92 2472.41 4093.71 4473.35 2803.46 4848.26 3380.08 2418.63 6504.79 7546.24 5642.99 3592.18 997.61 2263.53 3091.48 3274.08 3071.66 3126.45 1129.2 1987.27 2258.02 318.17 2247.27 2617.39 2254.86 2419.12 2171.85 599.44 557.51 4.19 6063.75 14.77 3465.98 12.61 7060.65 838.98 4113.53 406.58 3436.28 3495.53 696.79 126.1 3627.38 5603.81 153.16 2009.18 116.06 26.62 56.64 84.79 62.3 3530.35 33.38 35.62 1262.6 3077.41 4849.83 50.26 52.49 59.94 3330.04 1531.9 68.25 1744.14 1877.53 1168.72 25.97 1325.57 2247.87 3661.41 9356.66 10.18 1256.28 2486.84 917.47
"Mt1" 2196.97 6497.76 9211.29 6489.99 2664.36 5882.38 10688.7 6022.92 1396.93 4024.37 1539.12 402.55 22621.97 3075.26 928.49 2039.13 2784.5 13237.35 5137.45 7913.66 179.5 5458.02 9395.01 13291.3 3189.71 985.21 143.15 942.37 5070.13 6322.46 7584.95 1412.35 3351.07 4002.29 1224.51 1406.36 11579.2 1098.36 6607.33 5215.78 8669.12 2765.39 3483.24 1712.19 0 9718.11 11111.4 7092.51 8692.09 6113 8727.63 2907.45 1790.25 2465.03 9013.91 3512.49 632.07 6314 50.06 1973.82 723.83 1842.57 2986.44 6814.72 884.32 6808.47 755.93 8891.33 1476.93 4787.23 7518.22 3834.26 7302.91 6935.99 1267.28 1017.11 3571.17 1664.66 461.55 0 2928.28 2999.64 3297.12 7793.45 15817.04 5384.45 13664.47 3382.9 11689.23 15574.14 3985.32 6043.22 23222.18 7648.25 6489.84 3363.61 15485.98 632.89 1026.32 240.8 6991.79 9870.84 1970.8 482.77 11284.83 10044.47 11212.92 58.67 4567.74 1175.21 4548.25 2653.23 0 6424.11 7725.33 2777.01 1691.13 8175.46 37.84 1831.56 882.7 4144.53 1229.28 3244.9 0 917.47 41.33 2985.88 109.37 11030.59 35.58 2651.6 178.85 3945.3 0 10511.4 1401.88 2049.03 0 418.67 1644.68 24.37 10146.51 11457.16 2233.57 74.55 4344.59 7892.39 2724.15 0 863.11 0 0 18348.17 708.78 24.68 32.87 540.44 0 1446.89 48.46 13.8 605.61 170.93 72.9 8.43 41.71 2580.98 1658.18 3078.43 1497.4 4486.51
"Hmgn2" 3271.17 3454.11 3274.66 1794.51 3211.03 1202.19 17.29 195.16 1033.34 119.52 861.68 2205.37 821.94 5462.22 8996.8 1679.57 1974.59 2768.26 4205.51 346.05 1506.64 36.41 75.58 585.08 55.63 372.84 3933.56 25.69 108.46 6210.84 4675.48 4527.81 103.07 43.68 1190.64 19275 1234.93 1748.59 2464.43 36.49 1062.89 4723.25 8669.15 1051.7 3431.81 602.85 1136.19 24.52 1358.78 385.22 1620.01 21.6 1829.8 20.97 330.86 7.62 24650.78 44.23 29962.85 516.47 8604.26 2645.97 786.77 915.14 7672.32 77.34 1240.75 2.59 11608.57 858.89 1560.64 15113.05 1747.98 3727.87 20984.49 3134.89 2341.34 1368.51 26239.13 3312.92 17.58 2088.1 7260.43 34.11 1176.86 1659.48 5634.99 1202.34 130.27 41.31 2927.11 2945.28 505.06 2.9 4596.48 2316.5 200.22 6498.7 3331.34 1574.47 4422.79 1549.62 79.93 21940.8 32.86 538.98 382.8 11.36 5204.89 34289.65 17772.91 17168.38 3857.87 1932.19 2172.07 303.96 377.97 71.23 22637.15 17148.7 19699.13 1284.13 25093.31 4839.05 37970.39 19370.46 26093.16 1529.18 1693.67 724.31 6174.96 746.76 847.06 1382.03 21089.6 774.46 4320.81 92.76 5928.97 778.03 40.22 20772.97 1216.91 110.89 1782.28 105.82 91.67 992.07 163.66 24.3 70.13 1214.17 3873.67 30.88 41.16 35.03 1755.03 33.48 4555.84 777.21 685.79 23.38 2637.37 119.21 25.87 7.62 8.97 1470.9 12.97 252.03 463.41 12.32
"Eef1a1" 2154.78 3064.79 3586.28 3676.78 3716.36 1210.86 5043.56 3218.22 1679.16 3164.64 1181.9 5331.03 5796.2 107.31 8059.14 20 280.02 6047.12 34.93 7296.65 375.7 1389.21 1610.1 361.65 26.95 4700.35 3669.47 3426.99 2480.67 7515.46 1615.78 5020.12 41.98 38.75 4840.31 5554.84 1380.35 1388.16 4846.96 2970.42 386.13 15482.82 2509.37 10660.15 2647.45 2003.23 802.05 2128.65 376.96 2475.28 3477.41 2536.83 3329.79 1422.56 4459.9 2436.5 7977.77 5620.28 7783.75 1865.18 2320.1 1640.8 111.48 419.81 5726.87 3004.3 35.58 1280.49 2972.88 631.32 3271.56 10496.5 6608.54 5160.29 5276.52 6255.77 75.28 11128.56 3255.77 4380.06 3721.26 312.55 2208.45 1262.72 2242.78 652.64 48.75 4120.79 2770.55 18.64 4897.11 2305.55 2992.2 1621.84 1504.49 1730.15 2847.24 421.4 8495.65 7381.47 3685.97 3132.66 834.23 5142.57 3239.86 4431.09 943.2 1160.58 2898.15 11027.64 6209.61 10671.42 1070.67 1082.07 2211.6 24.07 1838.12 2535.18 5376.48 9124.78 3601.38 23.09 9071.74 12800.78 6870.62 4943.23 5397.7 3400.12 890.05 2526.07 7149.49 3202.91 3343.88 4034.7 3779.15 2912.29 10258.35 2177.32 7525.94 2868.88 766.59 7264.33 5483.2 107.97 1479.88 11665.12 5254.09 4535.72 4551.24 8345.83 6760.35 4742.66 2355.07 2962.63 254.28 1538.85 6078.93 1173.43 3601.27 3750.88 3159.69 4992.79 3943.78 19503.61 4867.55 6420.67 1744.87 3470.35 2696.81 1988.9 4819.23 1439.45
"Apoe" 3454.3 3759.06 4818.08 11929.93 13208.09 3441.37 7190.25 5746.22 6459.22 6286.29 2902.33 7636 4897.41 85.62 3598.73 8147.01 4905.36 4150.64 2313 2681.19 4166.95 6483.98 1854.2 3234.78 1221.59 3605.9 62.79 2669.76 2483.42 249.28 12734.93 2841.33 3273.68 4827.64 6224.22 258 6659.39 13561.27 2306.17 5101.33 6769.24 3211.86 2034.98 3009.32 2833.78 2652.63 3385.55 11926.32 5320.68 3058.18 9637.03 9168.12 5589.59 8801.36 8214.49 4144.37 186.64 3903.78 293.93 8669.76 2602.34 6496.17 2231.44 7066.8 375.07 9857.43 18588.03 4056.3 6585.77 8119.21 6256.24 2186.46 1497.83 4850.87 841.67 7280.31 5661.15 1054.83 54 918.52 3095.87 12071.36 978.21 14531.11 2876.88 9214.41 2033.36 4136.72 9235.85 4516.67 7786.79 1379.05 3740.74 4201.42 2269.76 4202.43 2783.76 2496.62 1026.67 4413.31 3469.42 5316.06 3686.76 287.41 284.2 6931.49 4345.26 1968.26 328.69 347.22 779.8 60.34 193.43 3249.41 7037.38 2089.97 2939.75 2789.4 12.25 1058.08 1284.51 5401.2 63.06 778.04 7.48 195.38 321.2 2903.3 1709.41 827.34 6.91 34.35 11.98 2070.05 1240.15 773.71 155.07 1353.36 192.16 4515.05 1309.36 18.94 1536.24 98.94 34.04 43.45 98.09 53.11 2959.7 24.39 1175.93 22.53 83.6 21291.46 22.95 28.77 21.29 1943.26 37.43 370.53 23.01 8.94 14.08 22.14 10.62 13.11 2209.06 4649.81 275.09 3491.06 1520.94 2530.08
"Slc1a3" 1304.16 3422.24 621.52 4394.81 5773.75 8171.91 4884.42 5754.6 9157.3 3667.08 7176.5 8843.22 5067.96 4861.73 1623.47 6295.86 2960.4 3041.51 2907.4 4031.66 6570.09 8833.23 8120.99 4153.96 16613.68 4285.93 158.37 7219.47 4946.95 824.68 6238.07 4787.42 2849.23 6994.37 4175.47 968.79 8558.77 4279.95 5101.05 8347.07 3426.67 279.69 2849.2 2780.05 717.24 3171.51 6207.73 7526.42 3274.17 5029.19 6416.47 5766.54 6343.91 6604.13 3365.27 7434.09 296.7 5207.15 1188.39 9226.25 2942.92 9167.9 7989.46 3048.12 428.93 8765.35 4803.53 7954.22 3475.59 2439.81 3978.97 3698.29 3380.69 3948.28 779.4 3517.94 10577.75 580.33 218.42 252.29 7145.01 7640.23 3903.8 2921.56 2698.61 5012.52 7665.36 10507.09 2986.69 9668.07 2298.5 5418.89 2083.79 7010.83 1134.07 6682.55 4643.13 5096.49 4917.24 1935.3 5269.67 4496.68 10128.4 394.44 1107.24 4857.89 4835.65 748.24 4498.18 92.56 404.43 1156.76 225.58 4331.77 4649.37 4526.84 3278.63 2400.75 742.96 3162.35 2512.76 1287.93 173.04 2071.07 7.39 235.9 476.33 3058.57 16.49 6952.4 142.84 259.74 13.29 7443.53 221.75 7577.1 8.65 541.53 4916.31 128.9 22.45 405.15 6828.26 69.48 17.16 27.1 50.2 20.08 705.91 19.1 18.79 36.78 263.98 5746.02 18.85 18.65 13.8 984.98 33.7 12.67 13.56 15.45 10.87 11.96 15.05 12.06 700.44 8.43 8.09 375.34 275.86 268.14
"Tspan7" 2458.26 5195.19 3606.3 2673.44 8841.08 4565.17 5645.77 7054.2 8784.53 13287.7 2878.95 5563.64 7508.47 13.34 3902.69 8238.75 3751.65 3031.86 5622.8 6424.94 5513.01 5098.73 4339.07 926.63 8117.34 4351.81 57.12 5708.88 6794.18 1577.94 5563.88 4512.45 11026.25 4098.74 3306.31 14.79 13891.9 6136.75 1599.53 5869.2 5459.7 1407.97 1408.11 1447.95 247.78 3518.67 2118.68 5159.29 8335.83 2250.87 6007.88 6473.26 9310.6 10922.85 3234.75 3961.37 10.44 4356.34 673.61 3941.93 1892.3 9584.71 4140.95 8314.67 488.28 4368.35 7802.42 7098.09 2514.16 3410.21 5499.83 1016.72 1537.03 4770.51 1098.11 5304.57 7879.6 3915.93 30.27 9.95 9307.78 9424.08 2319.8 4523.82 3297.66 4237.4 6014.63 9478.58 2975.06 2134.91 4478.66 8303.29 2535.32 7075.18 2186.08 2919.56 2973.12 2703.45 2154.76 5925.97 3792.05 6977.52 6214.19 730.22 2003.99 4503.27 6455.49 3100.66 2305.02 251.28 556.92 371.12 1411.92 124.9 5377.28 2733.24 1794.75 1453.09 1043.26 1676.96 1515.17 5103.36 954.33 759.05 794.01 142.28 658.52 4753.22 20.13 5477.54 152.94 28.76 295.76 8771.88 545.13 11029.05 363.35 2527.24 1172.19 957.71 708.81 421.05 9390.15 37.66 27.64 47.04 47.16 40.42 1862.92 16.71 684.79 45.73 1219.72 2781.25 2.8 11.68 15.56 1603.52 11.4 55.76 2150.96 8.71 20.82 26.96 7.19 7.32 1314.97 364.73 6.94 3104.25 905.3 628.68
"Gstm1" 6484.96 4184.75 10173.67 5003.65 6484.05 3840.97 6752.9 11326.48 4288 5719.8 10153.42 4529.56 12310.76 1463.49 655.61 2861.48 702.2 5925.61 3812.92 4387.12 5419.31 5663.7 7106.98 2253.4 8344.37 4562.32 26.89 6583.29 5077.71 12644.65 4134.05 842.57 6417.36 5486.5 3139.48 25.17 3149.19 6326.08 4957.86 10729.62 13545.76 1351.02 17.86 1045.54 1419.1 7394.76 6914.6 2968.38 4647.99 296.88 9512.15 8295.6 11615.77 4973.67 4636.05 14341.29 9.04 6751.11 10.26 1707.87 913.38 2310.31 6201.31 1220.42 1490.95 10382.55 3119.19 8364.05 1084.72 40.59 4718.48 13.1 7830.92 30.52 373.52 7333.53 29.69 6.32 19.14 6.39 7763.16 1629.09 1263.23 14355.22 5331.58 1641.14 7501.31 4150.09 3639.6 3747.9 1731.13 3464.74 11871.07 23.52 1009.86 2777.61 4303.12 6413.72 1940.97 1722.56 746.56 14124.45 4984.42 708.95 12418.93 8025.36 3839.39 42.97 2723.65 22.7 4.8 5.73 12.58 2707.54 6622.98 4804.18 1626.36 4914.62 25.61 1492.12 686.98 2913.51 554.57 16.91 1.02 483.48 15.25 8177.05 8.97 11537.24 6.58 16.31 271.13 3030.51 168.61 15054.11 732.82 778.63 27.26 6.18 9.88 4.34 2483.22 29.36 10.78 45.86 34.31 157.63 709.74 2653.55 1079.18 23.78 26.78 7083.97 113.36 9.11 507.28 271.05 23.7 12.13 7.95 15.28 7.64 21.03 4.48 6.23 54.74 3.22 14.13 0 596.32 5.03
"Rn45s" 5812.14 2842.53 5722.82 3614.04 2821.56 5687.78 2046.3 2256.41 3014.09 4003.37 1347.52 3266.17 5385.59 1944.83 2230.83 2235.23 6523.99 2324.71 1457.8 5771.25 3528.25 5539.01 6994.01 5652.71 4950.34 1670.05 5556.5 3490.5 1926.72 2631.18 3377.11 2149.41 1403.61 4282.69 2322 2662.81 3387.72 3811.37 3168.98 3882.11 1286.39 5151.83 3140.73 1495.28 2673.67 1870.37 2700.03 8876.59 3984.41 3958.4 1219.38 1631.48 1640.19 2226.31 1592.71 1902.8 2330.22 5232.15 1890.14 5470.17 2322.97 3703.86 2480.26 2319.35 3422.11 5241.54 1816.05 3011.57 2248.91 4666.15 2887.91 4761.02 900.19 3525.11 1126.23 2895.18 4316.11 3890.1 2351.51 3410.61 3002.56 2124.13 5194.87 4199.12 3681.12 4921.98 6014.45 3932.68 5481.28 2615.02 1858.53 6010.72 2409.22 2028.01 1849.77 2913.46 2079.61 2633.31 2851.06 3649.83 1807.05 1042.26 1670.26 2450.49 6161.18 4980.68 3374.38 1946.7 1608.47 3347.4 3781.38 4385.74 1925.03 8825.6 2765.86 1835.69 2279.48 5897.97 3070.83 3472.3 2484.94 2778.28 1700.28 3239.52 2377.72 2217 1508.46 5598.26 2154.35 1310.18 2328.14 1956.24 3166.03 1188.17 2350.94 743.3 3798.95 3753.7 1469.91 3786.45 1771.27 2732.77 1822.33 4122.92 2572.73 7339.8 2386.91 7511.09 2647.83 5025.72 3376.47 1767.02 1075.85 10285.42 3501.61 3311.53 4643.12 4266.55 4660.13 1600.94 7597.65 4206.99 4066.08 5114.1 1588.02 1680.61 7297.94 3585.32 2175.11 2540.59 419.51 2391.71
"Tuba1a" 124.6 29.05 1862.53 3366.39 992.69 128.69 1443.9 2280.83 2068.73 45.81 1053.03 4312.5 2877.31 4283.63 3472.68 1570.56 6095.61 1754.76 2883.32 859.92 10922.26 6130.76 1989.87 6133.83 1858.22 2238.96 3222.44 611.16 1042.93 3275.34 7875.11 2072.1 2413.31 1770.33 1546.68 1371.04 951.66 2688.19 2960.71 2881.58 1219.81 1203.3 2496.34 2391.1 1215.89 5827.04 215.03 326.87 3347.67 1997.2 218.06 1327.46 4283.09 2079.05 1212.55 3644.88 3277.71 4256.37 2463.67 490.29 1130.54 1623 1259.76 3204.13 1224.23 213.59 3513.39 315.22 1294.39 6953.22 2569.83 1456.15 3099.03 3132.99 1672.36 1193.51 147.69 291.67 5949.56 788.56 4006.1 3636.68 246.21 3424.07 960.07 1475.51 4898.4 19.18 280.09 5136.38 5864.49 8279.85 2064.26 1990.75 1774.81 1927.68 2667.75 12063.77 1245.25 3872.52 889.8 4575.78 1309.17 5239.94 5058.81 824.04 2520.33 1379.08 173.4 7714.72 7910.65 1763.36 4987.51 2466.78 5263.77 47.67 1380.9 3293.46 6989.76 1208.38 2053.15 5042.59 8728.4 1668.21 6862.08 2176.93 7360.3 283.08 14.76 4166.88 11753.82 160.01 1582.58 1532.83 2882.53 3589.04 6086.69 1213.62 17417.63 4686.6 5820.98 5253.54 2394.36 79.95 381.3 56.73 93.82 19.06 2061.8 703.42 12561.76 12875.06 21.39 70.47 35.98 7692.88 2194.76 4328.92 2902.26 479.14 3625.8 5079.39 17924.92 0 160.16 25946.83 12402.75 4366.61 18.44 3216.6 2358.72 2237.33
"Cox7c" 9864.46 4654.4 0 3227.89 633.44 0 1549.61 1799.71 0 0 254.71 169.88 3880.52 129.74 0 229.47 712.16 4872.04 1644.22 4139.96 617.21 0 4943.53 31.03 6159.55 299.65 14451.02 0 1906.95 2026.29 3921.27 632.13 3126.28 3856.33 224.67 2701.5 42.2 390.7 4666.03 0 2699.82 8504.32 2756.11 169.83 977.6 2070.85 5448.22 0 4059.89 4212.43 1415.9 176.54 355.52 114.31 6266.83 0 3382.33 3648.62 328.6 95.74 3074.91 1418.71 972.11 3759.9 3853.79 10386.3 255.2 2230.61 4232.08 7724.94 3954.36 5493.4 1894.9 5475.55 3533.15 371.62 1221.92 0 1283.9 8639.42 0 1847.95 6233.81 1982.77 11078.49 4781.93 4034.81 1502.72 0 0 759.79 664.87 3858.14 3259.2 4855.4 514.6 635.32 0 2654.52 677.43 5266.51 6158.92 0 3108.18 11936.4 1786.69 3154.57 82.53 4617.71 3278.94 2348.49 2839.56 1381.25 0 5100.87 2658.55 3806.16 2329.14 2659.81 6994.3 3044.76 1025.05 2807.77 2160.29 4880.76 5599.77 1279.01 3954.94 5948.57 2680.95 2652.35 3823.16 3764.98 1308.47 1184.24 3330.64 0 5463.47 47.97 2355.74 2144.24 7406.44 4093.32 32233.25 2219.08 0 560.68 10813.59 6341.88 463.48 3507.41 815.51 41.27 7404.3 99.7 833.08 4069.29 304.09 2438.94 3946.29 2226.63 6134.73 7951.01 0 11511.1 71.19 2659.91 4349.33 0 3319.36 5366.41 6715.74
"Fth1" 861.47 2260.24 1132.96 1791.13 2135.49 1555.3 1457.15 120.35 1605 4140.99 5767.75 3362.64 116.03 1761.35 3904.14 4506.59 41.09 2529.99 2726.81 2667.93 3666.2 1973.02 3378.81 3750.98 35.98 1578.26 15.82 2565.11 2054.07 10479.43 818.57 3579.33 28.99 2206.89 1966.71 19.57 9.39 6361.21 3442.16 2283.6 2150.94 2708.62 893.56 7864.94 2964.72 1837.93 1619.94 33.04 28.02 2001.52 3448.38 8000 4270.4 4291.03 4398.09 1025.68 3691.66 234.91 125.37 685.39 1981.98 9.52 721.15 3631.8 2706.9 40.03 25.24 825.25 868.98 3756.43 2027.18 3567.68 2632.47 1355.45 1910.97 7242.16 1903.58 5273.51 246.77 1843.77 4244.48 1603.93 3414.89 3520.97 1300.19 2194.21 5084.26 2401.72 2087.62 1897.1 2525.73 1789.7 179.1 1776.96 2857.85 2676.49 2189.93 1609.5 1115.9 2797.6 9.41 3977.07 3560.8 660.73 4400.86 5474.73 3330.52 2828.56 2258.19 1985.09 840.17 2832.43 311.67 429.04 1882.09 2302.27 3143.5 6263.47 5876.13 973.85 1392.08 3800.88 2702.73 1196.87 327.42 1700.6 1000.58 2664.31 3043.37 892.92 2119.83 9.76 1888.37 3.35 1740.69 1143.68 334.3 1685.04 2783.8 671.07 2335.79 1547.03 237.07 28315.8 4097.33 16865.17 424.56 10.7 7608.21 3703.53 2442.09 665.47 1784.96 6123.23 2233.66 277.91 3341.16 988.06 3216.54 20925.22 64.05 4727.29 22.69 1373.52 13510.21 443.6 1410.3 24177.04 1562.57 3863.77 8507.96 10015.26
"Rpl35" 840.45 2090.48 6657.41 2647.22 0 0 2416.24 2448.81 155.83 3854.47 367.37 353.91 3964.48 1455.45 97.35 535.85 0 1732.68 2107.97 1857.67 0 5864.93 0 3938.85 2145.48 36.02 3804.1 0 1466.88 11325.83 3419.71 694.65 657.57 0 1224.17 6432.87 4016.87 375.67 822.83 2447.46 1548.86 9363.83 8342.93 653.19 2143.2 4030.39 1330.46 0 3449.82 5054.65 2689.67 509.25 28.49 586.22 9118.29 878.31 2147.81 3243.51 1760.36 644.41 4523.08 3043.09 1201.79 2898.23 17871.15 0 408.98 3230.69 3851.31 777.78 1957.88 6002.41 3183.05 0 4381.6 250.13 0 4169.55 6860.01 3671.99 92.11 2902.23 0 655.36 177.54 1141.22 2640.3 0 3723.69 1711.79 5982.75 821.95 1638.66 3255.55 1628.6 247.4 8694.86 634.09 2328.53 0 2989.58 3462.11 152.32 3340.24 28.7 1514.14 1709.64 0 4410.9 4650.42 2215.95 11803.48 3652.34 7820.12 1340.03 313.02 4669.37 1399.73 14434.25 2361 3239.15 30.8 8692.04 7203.21 4085.75 9044.09 5254.69 1017.13 2761.27 320.01 6881.1 1524.24 1418.04 5336.27 5799.39 2571.74 0 3681.48 1476.14 3035.28 976.63 2769.27 7526.51 0 0 100.83 13045.8 12477.22 4891.61 1591.63 2248.34 0 198.4 2588.92 12654.4 1602.09 4135.09 4268.94 1172.57 2210.97 1966.21 4069.41 3444.54 0 0 250.98 1128.35 0 5471.13 3581.78 4966.35 5867.05
"Clu" 744.5 3048.39 3322.36 7154.58 8170.23 1615.07 6768.07 7477.32 3143.99 10303.19 518.91 5378.65 7925.18 2.36 3078.81 5123.37 469.49 5367.31 5393.7 3919.1 2545.28 8225.37 5640.43 8865.21 5324.89 1895.66 20.73 12441.15 3489.23 1172.91 3159.16 2295.04 5687.76 2793.27 2084.54 17.7 5152.26 3837.82 5702.61 6498.89 4169.85 1289.73 5.58 18.57 17.11 3527.41 3117.28 220.05 1753.71 29.51 5080.98 5903.39 6042.55 5696.9 5977.01 3128.03 6.79 2354.76 10.33 2802.46 595.21 7716.36 2776.32 2161.44 258.52 8517.13 716.39 2722.18 374 2614.28 6049.82 16.39 809.03 4852.03 5.27 3591.93 2523.43 4400.61 13.96 17.12 5312.85 9652 1087.15 10705.24 2069.9 7553.18 5137.6 8456.55 7857.06 2472.17 1479.15 244.12 2959.64 1659.43 1845.65 9315.24 3280.13 1620.99 4091.7 5964.21 2165.83 5734.41 7710.28 5 2762.85 5203.51 4450.59 2513.23 3.32 20.92 6.6 5.97 6.29 454.43 3337.75 32.64 5099.4 7315.73 14.56 1241.88 1500.22 140.14 6.55 46.68 6.35 4.78 15.9 2986.65 5.61 6990.74 8.21 703.69 12.33 3427.68 5.27 3096.39 2523.15 504.57 10.49 1785.29 904.11 22.5 4633.32 66.1 20.21 34.41 55.19 19.71 986.33 18.1 17.21 20.81 383.64 14514.23 24.53 32.27 12.64 279.44 37.05 16.99 17.39 7.43 10.75 39.44 18.93 5.84 35.29 6.05 10.63 3675.33 4301.65 4312.54
